exec_date,id,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
2019-02-04T03:00:41.843,785251033,BUY,369434,0.42122027,JRF20190204-030041-024937,JRF20190204-030019-017237
2019-02-04T03:00:41.86,785251034,SELL,369433,0.25,JRF20190204-030041-097800,JRF20190204-030041-013593
2019-02-04T03:00:41.89,785251038,BUY,369442,0.04,JRF20190204-030041-747146,JRF20190204-030018-634294
2019-02-04T03:00:41.89,785251037,BUY,369441,0.0175,JRF20190204-030041-747146,JRF20190204-025818-593549
2019-02-04T03:00:41.89,785251036,BUY,369438,0.01,JRF20190204-030041-747146,JRF20190204-030040-297619
2019-02-04T03:00:41.89,785251035,BUY,369434,0.00084594,JRF20190204-030041-747146,JRF20190204-030019-017237
2019-02-04T03:00:41.907,785251043,BUY,369449,0.03135406,JRF20190204-030041-747146,JRF20190204-025826-596265
2019-02-04T03:00:41.907,785251042,BUY,369447,0.042300000000000004,JRF20190204-030041-747146,JRF20190204-025959-628781
2019-02-04T03:00:41.907,785251041,BUY,369446,0.038,JRF20190204-030041-747146,JRF20190204-025914-613652
2019-02-04T03:00:41.907,785251040,BUY,369446,0.1,JRF20190204-030041-747146,JRF20190204-030027-671849
2019-02-04T03:00:41.907,785251039,BUY,369445,0.1,JRF20190204-030041-747146,JRF20190204-030035-024887
2019-02-04T03:00:42,785251044,SELL,369433,0.1,JRF20190204-030041-097800,JRF20190204-030041-125445
2019-02-04T03:00:42.28,785251045,BUY,369449,0.02,JRF20190204-030042-097804,JRF20190204-025826-596265
2019-02-04T03:00:42.467,785251046,BUY,369449,0.01,JRF20190204-030031-641142,JRF20190204-025826-596265
2019-02-04T03:00:42.563,785251048,BUY,369449,0.01,JRF20190204-030042-747156,JRF20190204-025826-596265
2019-02-04T03:00:42.577,785251049,BUY,369449,0.01,JRF20190204-030042-500028,JRF20190204-025826-596265
2019-02-04T03:00:42.64,785251050,BUY,369449,0.01,JRF20190204-030042-500029,JRF20190204-025826-596265
2019-02-04T03:00:42.657,785251069,SELL,369434,0.57374461,JRF20190204-030042-705071,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251068,SELL,369434,0.42200311,JRF20190204-030042-747150,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251067,SELL,369434,0.04,JRF20190204-030042-097803,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251066,SELL,369434,0.06,JRF20190204-030042-640279,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251065,SELL,369434,0.10027154,JRF20190204-030041-447884,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251064,SELL,369435,0.309,JRF20190204-030042-747155,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251063,SELL,369435,0.309,JRF20190204-030042-747149,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251062,SELL,369435,0.06,JRF20190204-030042-482708,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251061,SELL,369435,0.07598074,JRF20190204-030042-640280,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251060,SELL,369436,0.2,JRF20190204-030042-500023,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251059,SELL,369439,0.09,JRF20190204-030037-642737,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251058,SELL,369439,0.05,JRF20190204-030042-447885,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251057,SELL,369440,0.05,JRF20190204-030036-642486,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251056,SELL,369442,0.12,JRF20190204-030042-570420,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251055,SELL,369443,0.5,JRF20190204-030041-297632,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251054,SELL,369448,0.01,JRF20190204-030042-297636,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251053,SELL,369448,0.01,JRF20190204-030042-747152,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251052,SELL,369448,0.01,JRF20190204-030042-447887,JRF20190204-030042-640282
2019-02-04T03:00:42.657,785251051,SELL,369448,0.01,JRF20190204-030042-125446,JRF20190204-030042-640282
2019-02-04T03:00:42.67,785251070,BUY,369449,0.01,JRF20190204-030042-500030,JRF20190204-025826-596265
2019-02-04T03:00:42.703,785251072,BUY,369450,0.03935406,JRF20190204-030042-747160,JRF20190204-030027-125333
2019-02-04T03:00:42.703,785251071,BUY,369449,0.00064594,JRF20190204-030042-747160,JRF20190204-025826-596265
2019-02-04T03:00:42.717,785251074,BUY,369450,0.057418830000000004,JRF20190204-030042-747161,JRF20190204-030027-125333
2019-02-04T03:00:42.717,785251073,BUY,369450,0.03370941,JRF20190204-030042-747162,JRF20190204-030027-125333
2019-02-04T03:00:42.86,785251075,SELL,369449,0.01,JRF20190204-030042-297641,JRF20190204-030042-125451
2019-02-04T03:00:42.873,785251076,BUY,369450,0.05,JRF20190204-030042-097807,JRF20190204-030027-125333
2019-02-04T03:00:43.17,785251081,BUY,369454,0.011978899999999999,JRF20190204-030043-296733,JRF20190204-030001-629338
